Ticker,Name,Link,Industry,Sector,City,State,Country,Employees,Type,Exchange,Implied Val,Lead Inv,Last Raise,Last Raise Date,Total Raise,Rounds,Last Class,52w Low,52w High,52w Chg,52w % Chg,Founded,Timestamp
AIR.PVT,Airtable,https://airtable.com,"Database, Developer Tools, SaaS, Software",Software,San Francisco,CA,US,501,Private Company,PVT,3764462336.0,Benchmark,735000000.0,1639353600.0,4114117888,7.0,Series F,51.0,61.57,16.08,16.08,2013-01-01,2025-08-27 17:29:23.708684-04:00
MERC.PVT,Mercury,https://mercury.com,"Banking, FinTech, Financial Services, Information Technology, InsurTech",Financial Services,San Francisco,CA,US,501,Private Company,PVT,3685651968.0,Caffeinated Capital,242549136.0,1742947200.0,451639584,5.0,Series C,7.38,13.62,76.42,76.42,2017-01-01,2025-08-27 17:29:24.000150-04:00
EQSH.PVT,EquipmentShare,https://www.equipmentshare.com,"Construction, Fleet Management, SaaS, Service Industry, Software",Software,Columbia,MO,US,5001,Private Company,PVT,3495782912.0,Tiger Global Management,177130480.0,1685577600.0,2327117568,6.0,Perpetual-1,13.74,15.0,7.14,7.14,2014-01-01,2025-08-27 17:29:24.306434-04:00
BREX.PVT,Brex,https://brex.com,"Banking, Credit Cards, FinTech, Financial Services",Financial Services,San Francisco,,US,1001,Private Company,PVT,3452474368.0,ArpexCapital,300000000.0,1641859200.0,1246215424,7.0,Series D-2,9.75,13.44,-27.46,-27.46,2017-03-01,2025-08-27 17:29:24.615845-04:00
THFD.PVT,The Farmer's Dog,https://www.thefarmersdog.com,"Consumer Goods, E-Commerce, Food and Beverage, Personalization, Pet, Subscription Service",Consumer Goods,New York,,US,501,Private Company,PVT,3447643904.0,,99999792.0,1654646400.0,267955296,6.0,Series E,20.46,21.68,5.76,5.76,2014-01-01,2025-08-27 17:29:25.058876-04:00
POSM.PVT,Postman,https://www.postman.com,"Developer APIs, Developer Tools, Enterprise Software, SaaS",Software,San Francisco,,US,501,Private Company,PVT,3272090368.0,Battery Ventures,144999952.0,1629244800.0,352000736,4.0,Series D,10.3,12.0,-2.28,-2.28,2014-09-01,2025-08-27 17:29:25.423823-04:00
ZIPL.PVT,Zipline,http://flyzipline.com,"Delivery, Drones, Electric Vehicle, Home Health Care, Logistics, Robotics, Supply Chain Management",Supply Chain and Logistics,San Francisco,CA,US,1001,Private Company,PVT,3236460288.0,Andreessen Horowitz,350000192.0,1717632000.0,3682021632,8.0,Series G,22.0,29.96,22.73,22.73,2011-08-01,2025-08-27 17:29:25.782186-04:00
UPGR.PVT,Upgrade,http://www.upgrade.com,"Banking, Credit, FinTech, Financial Services, Mobile",Financial Services,San Francisco,CA,US,1001,Private Company,PVT,3129742592.0,Apoletto Managers,80583512.0,1753401600.0,786086080,7.0,Series F-2,1.83,5.64,36.61,36.61,2016-01-01,2025-08-27 17:29:26.068429-04:00
REPI.PVT,Replit,https://replit.com,"Artificial Intelligence (AI), Cloud Computing, Developer Tools, Information Technology, Software",Software,San Francisco,CA,US,101,Private Company,PVT,3030620672.0,Andreessen Horowitz,249999984.0,1753833600.0,454090144,5.0,Series C,31.5,91.51,190.51,190.51,2016-01-01,2025-08-27 17:29:26.422226-04:00
ADDE.PVT,Addepar,https://addepar.com,"FinTech, Financial Services, SaaS, Software",Financial Services,Mountain View,CA,US,1001,Private Company,PVT,3013130496.0,8VC,230711408.0,1747094400.0,720918464,7.0,Series G,1.9,3.56,73.68,73.68,2009-01-01,2025-08-27 17:29:26.890985-04:00
HARN.PVT,Harness,http://harness.io,"Developer Tools, Productivity Tools, SaaS, Software",Software,San Francisco,,US,1001,Private Company,PVT,2888599808.0,Alkeon Capital,50469552.0,1741046400.0,515032928,7.0,Series D-1,12.07,14.31,14.75,14.75,2015-01-01,2025-08-27 17:29:27.231893-04:00
LAMD.PVT,Lambda,https://lambdalabs.com,"Artificial Intelligence (AI), Cloud Computing, GPU, Machine Learning",Data and Analytics,San Jose,CA,US,251,Private Company,PVT,2881644800.0,,407573472.0,1739923200.0,864089280,6.0,Series D-1,16.95,24.38,-14.89,-14.89,2012-01-01,2025-08-27 17:29:27.585263-04:00
LIG.PVT,Lightmatter,https://lightmatter.co,"Artificial Intelligence (AI), Data Center, Machine Learning, Semiconductor, Software",Hardware,Mountain View,,US,251,Private Company,PVT,2632802816.0,,13483170.0,1729036800.0,822483840,6.0,Series C-3,23.0,80.23,108.7,108.7,2017-09-08,2025-08-27 17:29:28.320564-04:00
WORA.PVT,Workato,http://www.workato.com,"Cloud Computing, Data Integration, Marketing Automation, SaaS, Sales Automation",Software,Mountain View,CA,US,501,Private Company,PVT,2114698368.0,Altimeter Capital,199999920.0,1636502400.0,441249312,6.0,Series E,5.8,6.15,-2.44,-2.44,2013-01-01,2025-08-27 17:29:28.934582-04:00
CHAA.PVT,Chainalysis,https://chainalysis.com,"Analytics, Blockchain, Cryptocurrency, FinTech, Software",Privacy and Security,New York,,US,501,Private Company,PVT,2078138880.0,9Yards Capital,150000000.0,1652313600.0,587401536,7.0,Series F,5.85,13.62,-28.49,-28.49,2014-10-01,2025-08-27 17:29:29.313276-04:00
MOTV.PVT,Motive,https://gomotive.com,"Artificial Intelligence (AI), Business Intelligence, Fleet Management, Logistics, SaaS, Software, Transportation",Supply Chain and Logistics,San Francisco,CA,US,1001,Private Company,PVT,1944555392.0,Greenoaks Capital,150000000.0,1753833600.0,651617088,6.0,Series F,2.02,5.25,34.62,34.62,2013-01-01,2025-08-27 17:29:29.675318-04:00
AUAN.PVT,Automation Anywhere,https://www.automationanywhere.com/,"Artificial Intelligence (AI), Enterprise Software, InsurTech, Machine Learning, SaaS",Data and Analytics,San Jose,,US,1001,Private Company,PVT,1647892864.0,General Atlantic,174000000.0,1574294400.0,912721536,3.0,Series B,3.75,5.45,-26.61,-26.61,2003-01-01,2025-08-27 17:29:29.956911-04:00
RAPP.PVT,Rappi,https://www.rappi.com.mx,"Consumer Goods, Delivery, E-Commerce, Food Delivery, Food and Beverage, Mobile Apps, Web Development",Transportation,San Francisco,CA,US,1001,Private Company,PVT,1497130240.0,Andreessen Horowitz,496099712.0,1626825600.0,5870599680,6.0,Series F,18.38,26.5,-28.73,-28.73,2015-01-01,2025-08-27 17:29:30.263430-04:00
TURO.PVT,Turo,https://turo.com,"Car Sharing, Marketplace, Peer to Peer, Transportation",Transportation,San Francisco,,US,501,Private Company,PVT,1431007616.0,137 Ventures,457448.0,1727654400.0,557897856,8.0,Series 1,11.22,18.65,-39.84,-39.84,2008-11-01,2025-08-27 17:29:30.615988-04:00
CIHE.PVT,Cityblock Health,http://www.cityblock.com,"Health Care, Social, Wellness",Health Care,Brooklyn,NY,US,1001,Private Company,PVT,1446139008.0,8VC,38999940.0,1718668800.0,1826664832,8.0,Series X,18.28,19.91,-8.19,-8.19,2017-09-01,2025-08-27 17:29:30.907516-04:00
WHOO.PVT,WHOOP,http://www.whoop.com,"Analytics, Fitness, Sports, Wearables, Wellness",Consumer Goods,Boston,MA,US,501,Private Company,PVT,1391596672.0,Accomplice,200000000.0,1630281600.0,401037088,7.0,Series F,1.65,1.94,5.14,5.14,2012-12-01,2025-08-27 17:29:31.191444-04:00
NEFJ.PVT,Neo4j,https://www.neo4j.com/,"Analytics, Artificial Intelligence (AI), Business Information Systems, Data Visualization, Database, Generative AI, Machine Learning",Data and Analytics,San Mateo,CA,US,501,Private Company,PVT,1331904384.0,Conor Venture Partners,197030944.0,1636416000.0,711824768,6.0,Series F,7.45,11.25,-23.51,-23.51,2007-01-01,2025-08-27 17:29:31.560737-04:00
FLEP.PVT,Flexport,https://www.flexport.com,"Freight Service, Logistics, Shipping, Software, Supply Chain Management",Supply Chain and Logistics,San Francisco,CA,US,1001,Private Company,PVT,1278054144.0,A-Grade Investments,159677552.0,1505952000.0,2433093376,3.0,Series C,2.48,3.38,11.15,11.15,2013-03-01,2025-08-27 17:29:31.856206-04:00
FLOQ.PVT,FloQast,http://www.floqast.com,"Accounting, B2B, Enterprise Software, SaaS",Software,Sherman Oaks,CA,US,501,Private Company,PVT,1198927744.0,,60294116.0,1712707200.0,1335761920,7.0,Series E,10.0,16.4,-24.33,-24.33,2013-01-01,2025-08-27 17:29:32.136108-04:00
GERO.PVT,Gecko Robotics,https://www.geckorobotics.com,"Industrial Engineering, Information Technology, Infrastructure, Military, Robotics, Software",Hardware,Pittsburgh,PA,US,251,Private Company,PVT,1119424128.0,Founders Fund,116064992.0,1749686400.0,349003232,4.0,Series D-1,30.37,49.27,39.66,39.66,2013-01-01,2025-08-27 17:29:32.420565-04:00
