EPS Gr %,EPS Qtr Gr %,Rev Gr %
0.915,0.721,0.157
-0.133,-0.115,-0.034
-0.101,-0.168,-0.009
,,0.46
,,1.253
0.015,0.015,0.144
1.0,0.982,0.424
,,0.561
-0.04,-0.05,0.059
0.657,0.569,0.201
,,0.003
0.195,0.168,0.038
-0.007,-0.055,0.057
-0.01,-0.035,0.102
0.052,0.065,-0.007
-0.019,-0.012,0.082
0.528,0.604,0.213
-0.341,-0.341,0.159
-0.686,-0.704,0.077
0.522,0.517,0.152
-0.047,-0.072,0.114
0.522,0.517,0.152
2.11,1.81,-0.036
-0.029,-0.033,0.075
0.179,0.112,0.052
1.276,1.221,0.21
0.245,0.247,0.274
-0.325,-0.355,-0.007
0.363,0.364,0.325
0.363,0.364,0.325
-0.215,-0.219,0.048
-0.347,-0.371,0.07
,,0.223
-0.022,-0.021,0.086
0.217,0.231,0.152
,,0.438
,,0.083
,,0.233
0.083,0.088,0.073
,-0.26,-0.193
,-0.26,-0.193
,-0.26,-0.193
-0.685,-0.681,0.04
0.014,0.014,0.088
,,-0.043
0.057,0.027,0.06
,,0.003
0.396,0.366,0.083
0.122,0.1,0.071
,-0.26,-0.193
,,-0.043
,-0.26,-0.193
0.138,0.129,0.034
,,0.36
0.121,0.06,0.067
,-0.26,-0.193
-0.474,-0.496,-0.154
,,0.438
0.363,0.361,0.212
0.139,0.191,0.183
0.401,0.551,0.197
-0.284,-0.292,-0.044
,,1.253
-0.095,-0.095,-0.04
,,0.145
,,0.145
-0.604,-0.602,0.024
-0.604,-0.602,0.024
,,
,-0.26,-0.193
,-0.26,-0.193
-0.246,-0.254,0.303
-0.044,-0.05,0.01
-0.931,-0.932,0.006
,-0.26,-0.193
-0.044,-0.05,0.01
0.688,0.585,-0.071
,-0.26,-0.193
,,1.797
0.127,0.13,0.109
-0.133,-0.138,0.034
,-0.26,-0.193
0.208,0.214,0.046
0.688,0.585,-0.071
0.067,0.066,0.07
0.926,0.925,0.044
,-0.26,-0.193
-0.405,-0.397,0.357
,,0.307
0.41,0.348,0.076
-0.273,-0.311,0.049
-0.494,-0.497,-0.028
0.413,0.352,0.085
0.061,0.049,0.057
-0.261,-0.302,-0.015
-0.273,-0.311,0.049
-0.071,-0.164,-0.106
0.471,0.381,0.041
,,0.059
0.413,0.352,0.085
-0.362,-0.346,-0.133
-0.362,-0.346,-0.133
,,-0.127
-0.463,-0.463,-0.091
0.401,0.551,0.197
0.236,0.217,0.117
,,0.123
,,0.218
1.376,1.382,0.059
0.149,0.898,0.047
-0.313,-0.334,-0.055
0.465,0.471,0.034
0.078,0.079,0.631
,-0.26,-0.193
0.332,0.318,0.122
-0.052,-0.053,0.05
-0.012,0.0,-0.01
