P/E (TTM),P/E (FWD),P/S (TTM),P/B,PEG R
19.094488,,7.4489026,1.1510894,
45.122704,49.005245,12.078602,23.500227,1256.5447435897436
14.15126,,0.0215679,0.007985713,
17.820269,17.535904,0.76131856,2.810948,61.74614084507042
13.75,,0.19185509,0.3625338,
21.441668,19.541773,3.3423064,19.168116,-55.67456695156695
17.527027,,0.7487907,0.55293846,
0.4290788,,1.487129,0.058664646,
23.054945,18.349854,2.194885,3.1086087,193.15635789473686
14.483912,14.691906,2.6572132,0.96688837,249.0153559322034
31.641653,21.579643,4.8303695,10.320673,266.4153456790124
17.973095,9.3209305,2.5534322,10.965801,40.176424568965516
13.5,4.6618705,0.020748217,0.0015364435,310.7913666666667
16.499453,9.608876,0.3065837,1.9951606,200.18491666666668
37.842247,37.741333,5.1057873,12.066672,
,,,1.8074076,
,-82.6259,19.790956,225.19608,
49.32493,43.803482,10.84669,6.290501,-69.75076751592357
17.508928,8.913636,2.4986367,5.3652534,38.42084482758621
46.206966,32.04094,9.149633,-15.680038,500.6396875
46.2697,27.072697,6.777313,3.4008956,265.41859803921574
2.8251464,,1.1914145,0.36046568,
30.686893,28.095556,6.6843696,9.95904,1755.9722499999998
28.928709,84.112045,11.50505,6.3664503,2.2773608328369526
37.202732,31.479239,6.9451623,39.145855,186.26768639053253
12.697463,18.30026,3.7403011,2.4031405,12.192045303131248
25.001863,15.803066,3.0507953,4.2769604,-59.187513108614226
13.260424,12.924717,3.5969188,1.4740074,94.341
21.062923,19.486488,6.403533,7.9291096,1498.9606153846155
23.411371,13.73896,3.6047282,3.020431,63.6062962962963
22.894737,24.392525,4.818334,23.701416,1524.5328124999999
10.869565,,3.6821413,2.05719,
75.92822,57.712257,8.4614935,5.3656726,308.62169518716576
0.412001,,1.3749247,0.05632973,
5.172897,3.5941558,0.151764,0.3573965,
5.5841117,4.023569,0.15132126,0.38580742,
5.12721,,2.9188182,0.67896307,
23.21174,18.240526,2.04689,3.3358438,570.0164374999999
10.711207,11.347032,3.7571006,1.4315342,-166.86811764705882
34.88,34.57269,4.491515,6.0960073,432.15862500000003
10.301724,,3.7510457,1.3768075,
33.442158,20.58386,4.1178093,3.6846428,25.318400984009845
12.8199415,9.778661,0.80850106,4.638454,-117.81519277108433
,,,-0.86084145,
11.045455,10.662817,2.8110049,1.318239,74.04734027777779
15.562691,15.586523,3.7247384,1.8586559,57.72786296296296
10.691489,12.5625,4.695646,1.8983755,-128.18877551020407
22.142857,20.058823,3.6603475,6.3857675,358.19326785714287
