Rev,Gr P,EBITDA,Op P,Net Inc,ROA,ROE,EPS (TTM),EPS (FWD)
137000001536.0,81493999616.0,49917001728.0,31899080357.64224,18193000448.0,0.05204,0.18454,4.3,4.73
25024999424.0,21714999296.0,8947999744.0,8422664556.635669,4813000192.0,0.17569,,143.25,209.85
43212001280.0,17837000704.0,10817999872.0,7710749508.403199,6584000000.0,0.04973,0.13418001,17.27,23.49
16675000320.0,9676000256.0,7509000192.0,5840752362.0864,5015000064.0,0.10406,0.29990998,5.46,5.88
12056999936.0,9466999808.0,2294000128.0,1455038752.27648,1660999936.0,0.05167,0.16951,7.92,16.7
374131982336.0,91301994496.0,87418617856.0,38337302733.441986,58319441920.0,0.05096,0.22582,0.46,
120553996288.0,53896998912.0,41535000576.0,28104753154.62144,12599000064.0,0.05544,0.21315001,2.99,1.78
120553996288.0,53896998912.0,41535000576.0,28104753154.62144,12599000064.0,0.05544,0.21315001,2.99,
10014000128.0,4941000192.0,1572999936.0,1423590258.19648,2344999936.0,0.07435,0.22023001,1.8,1.85
812889473024.0,335419965440.0,82360451072.0,67542986313.564156,17871169536.0,0.04892,0.090959996,3.28,5.0
13013317844992.0,3743287083008.0,1920070057984.0,1696025714737.8074,1190474022912.0,0.02725,0.1444,1.33,
5440777224192.0,5440777224192.0,,2081695882563.6455,1257106964480.0,0.0031299999,0.05943,1.08,
402696208384.0,240543432704.0,99224166400.0,67705313515.60192,99178512384.0,0.1356,0.36169997,9.32,14.09
21572999168.0,10574999552.0,8566000128.0,7383358965.248,6403999744.0,0.03609,0.13921,41.41,49.1
5440777224192.0,5440777224192.0,,2081695882563.6455,1257106964480.0,0.0031299999,0.05943,1.08,1.03
21625999360.0,21019000832.0,,10360151253.4016,6789000192.0,0.01603,0.15595001,3.72,3.8
72825004032.0,72825004032.0,,20135385364.807682,12903999488.0,0.00569,0.06759,6.77,7.19
75326996480.0,-115000000.0,-7007000064.0,-735191485.6448,-10913000448.0,-0.03729,,-16.56,0.47
14700000256.0,10225000448.0,7260000256.0,6275430109.2864,4011000064.0,0.06261,0.11291,13.03,16.81
9144999936.0,6091700224.0,3185700096.0,2786206947.6011214,2607600128.0,0.090150006,0.1604,7.16,7.86
70015000576.0,10752000000.0,7138999808.0,4361934535.8848,4931999744.0,0.02533,0.24109,7.27,
43256999936.0,24085999616.0,13870999552.0,11526692772.945919,11573000192.0,0.14174,0.44615,10.35,12.23
7950945792.0,5107402752.0,3470673920.0,3556458052.7616,3251554048.0,0.15227,0.33638,2.55,9.73
13013317844992.0,3743287083008.0,1920070057984.0,1696025714737.8074,1190474022912.0,0.02725,0.1444,1.33,1.19
36615000064.0,6761999872.0,2419000064.0,2166143330.5562396,1156000000.0,0.01792,0.11412,4.11,6.9
34916999168.0,24217999360.0,16147999744.0,11427286317.71136,6618999808.0,0.07507,0.99139,12.24,20.67
38755999744.0,21649999872.0,8881999872.0,7691128149.196799,5877000192.0,0.13818,0.33036998,2.19,2.25
68482535424.0,21961922560.0,11767775232.0,11522187269.913355,7948770816.0,0.112449996,0.26928,12.57,14.07
25898999808.0,16051000320.0,14643000320.0,8767070425.006079,5918000128.0,0.02708,0.07592,2.87,3.68
18493999104.0,12583999488.0,4704999936.0,3445986668.108329,2504999936.0,0.05387,0.115480006,1.68,2.79
59770998784.0,26379999232.0,11825999872.0,11265040140.82048,5554999808.0,0.08656,0.287,2.61,3.5
57925001216.0,17710000128.0,7655000064.0,6515983386.787841,4974000128.0,0.1276,0.59755003,4.24,4.6
59770998784.0,26379999232.0,11825999872.0,11265040140.82048,5554999808.0,0.08656,0.287,2.61,
22601000960.0,20170999808.0,8883999744.0,8116018992.715981,6869000192.0,0.17851,0.52254003,15.62,20.55
23818000384.0,15470000128.0,6387999744.0,5228765386.119516,2918000128.0,0.07735,0.1425,7.56,13.53
63833001984.0,47120998400.0,24505999360.0,18309858289.090557,10727999488.0,0.0525,0.12168,1.89,2.93
24013000704.0,14339999744.0,7520999936.0,4830215091.6096,3412999936.0,0.04006,0.06676,4.71,8.38
82375999488.0,13905000448.0,13704999936.0,15172010761.939844,10432000000.0,0.07856,0.37293997,17.74,13.8
306859016192.0,143453995008.0,131068248064.0,161947914385.48993,115092996096.0,0.012180001,0.22639,0.57,
28863000576.0,22666999808.0,13800999936.0,11301596505.53856,6311000064.0,0.12616,0.33403,5.03,7.43
83612000256.0,27979999232.0,12533999616.0,12106181517.06624,6840999936.0,0.14345999,,12.09,12.63
,,,,,,,,
