Sh,Float,Short Int,Short Int PM
178218000.0,118819405.0,2121797.0,2369279.0
2491780096.0,2275776178.0,,
633198016.0,1706939553.0,2957853.0,2114864.0
650849024.0,3938302333.0,,
532630016.0,531857389.0,9225239.0,10564827.0
3165989888.0,1706939553.0,,
382900000.0,287060154.0,129559.0,113364.0
1293949952.0,1290283546.0,22841211.0,31799429.0
722070976.0,721283710.0,8139303.0,6684263.0
215627008.0,208700671.0,3004372.0,5177046.0
2015160064.0,3910535160.0,12527215.0,18497945.0
12458900480.0,2275776178.0,3015618.0,2191544.0
266928000.0,265638812.0,2453026.0,2923086.0
283624992.0,285419420.0,2522476.0,2440742.0
260300000.0,,,
645033024.0,610791893.0,18096876.0,23606248.0
450688000.0,149675569.0,2850814.0,2095609.0
4030309888.0,3910535160.0,,
56350300.0,56077550.0,1123665.0,1200134.0
