Gr M,EBITDA M,Op M,Net Inc M
0.05076,0.04298,0.03603,0.0064999997
0.44494,0.39391997,0.17676,0.14852999
0.82842004,-0.0072899996,-0.020569999,-0.04922
0.18451001,0.16428,0.10903,0.09476
0.79140997,0.24645,0.16218,0.13942
0.83796996,0.78919,0.65988,0.47464
0.21424,0.16933,0.12836,0.1104
0.0983,0.03164,-0.0030399999,0.030550001
0.35705003,0.31581,0.25483,0.20596
0.59986,0.36150002,0.3387,0.27218
0.81063,0.27664,0.25763,0.30844
0.59986,0.36150002,0.3387,0.27218
0.34244,0.34167,0.25099,0.13814001
0.77463996,-0.0287,-0.03748,-0.01523
0.59501,0.10358,0.011569999,-0.7292
0.81063,0.27664,0.25763,0.30844
0.35351002,0.37749,0.29697,0.17783001
0.35463002,0.16271,0.12945,0.07345
0.76328003,0.71088,0.42019,0.38685
0.58153,0.23433,0.19797,0.09365
0.46243998,0.35205,0.33851,0.18121
0.91039,0.08835,0.13552,0.1297
0.52153,0.15027,0.21076,0.41028
0.15313,0.12279,0.06112,0.05639
0.73279,0.1336,0.12559,0.08868
0.73279,0.1336,0.12559,0.08868
0.75421,0.72632,0.27897,0.28613
0.4905,0.45747003,0.25529,0.14300999
0.54701,0.26244,0.1476,0.09722
0.21893999,0.10998999,0.10599,0.0346
0.69211,0.20981,0.15856,0.0806
0.87025,0.14953,0.09644,0.35993
0.34624,0.13916,0.09993,0.060060002
0.55312,0.2771,0.24791999,0.73167
0.55561,0.23361999,0.11171,0.107030004
0.45407,0.26659,0.22908,0.18786
0.43722,0.39554,0.32266998,0.33828
0.4344,0.20347,0.21542,0.12073
0.69211,0.20981,0.15856,0.0806
0.72709,0.70467,0.47577998,0.38064
0.39534,0.20093,0.17631,0.12039
0.83509004,0.01735,0.06682,-0.03894
0.27558002,0.28726998,0.22278999,0.12523
0.18396,0.055040002,0.051799998,0.02247
0.69389,0.48461,0.46078,0.30675
0.21190001,0.124680005,0.120620005,0.07243
0.25239,0.0405,0.05391,0.02755
0.25239,0.08474,0.06933,0.03876
0.35419998,0.16459998,0.18549,0.11825
0.79331,0.06215,-0.03481,0.03574
0.39348,0.26702,0.22604,0.14538
1.0,0.12901,0.14324,-6.0000002e-05
0.39348,0.26702,0.22604,0.14538
0.47643003,0.27017,0.16627,0.11
0.79363,0.33861,0.24913,0.12157
0.53398997,0.3497,0.10125,0.119849995
0.55174,0.40155998,0.24408,0.095319994
,,,
0.40120998,0.23577999,0.07633,0.13543999
0.36668,0.29863,0.20183,0.01086
0.54701,0.26244,0.1476,0.09722
0.54701,0.26244,0.1476,0.09722
0.29723,0.32506,0.25676,0.16455
0.0367,0.0147,0.0104600005,0.00701
0.0,0.0,0.19902,0.29272
0.54481,0.22206,0.05049,-0.03503
,,,
0.15035,0.03261,0.03578,0.0128
0.36602002,0.35681,0.22104,0.16267
0.99031997,0.92609,1.09299,0.70198995
0.89735,0.90765,0.83903,0.59424996
0.43310001,0.39433998,0.21403,0.17871
0.33828,0.24332,0.29829,0.19493
0.35701,0.26298,0.24261999,0.0959
0.34179002,0.18003,0.15577,0.11891
0.51496,0.29771,0.22152,0.16083999
0.42493,0.34012002,0.22929001,0.12679
0.34195,0.37695998,0.39763,0.18643999
0.28857002,0.2242,0.21055001,0.14130001
0.24591999,0.1121,0.11590999,0.087919995
0.30244,0.18132,0.16885,0.10679
0.34195,0.37695998,0.39763,0.18643999
0.37812,0.20412001,0.14342,0.10745
0.16244,0.097040005,0.027420001,0.01936
0.14548999,0.0829,0.0558,0.02654
,,,
0.41564,0.184,0.1462,0.11219
0.28857002,0.2242,0.21055001,0.14130001
0.53576,0.27686,0.23561001,0.17592
0.20584999,0.123409994,0.08146,0.09205
0.20584999,0.123409994,0.08146,0.09205
0.04121,-0.07571,-0.49475,-0.16206
0.40588,0.16944,0.12544,0.09691
0.43138,0.26448,0.16939,0.01397
0.10488,0.116409995,0.10868,0.042069998
0.35319,0.23953,0.24304001,0.16148001
0.53568,0.20787,0.104899995,-0.05667
0.33573002,0.20943001,0.18476999,0.109160006
0.81745005,0.46638,0.48939,0.32797
0.72709,0.70467,0.47577998,0.38064
0.64862,0.18601999,0.10939,0.11283
0.34307,0.24785,0.20702,-0.20826
0.39960998,0.60489,0.21745001,0.21420999
0.74741,0.637,0.63418,0.16102
0.36409,0.12844,0.13015,0.071779996
0.9313,0.0,0.18070999,0.15489
0.37995,0.38535,0.21872,0.096140005
,,,
0.39960998,0.60489,0.21745001,0.21420999
0.41484,0.26955998,0.14807001,0.12497
0.0,0.0,0.27648002,0.21392
0.49293998,0.34423,0.29944,0.20299
0.58766,0.21468,0.18374,0.13288
0.7397,0.13642,0.04368,-0.07909
0.34248,0.18618,0.13393,0.07879
0.3939,0.31694,0.25424,0.1942
0.34657001,0.14357,0.11833999,0.0571
0.41832,0.38242,0.16360001,0.03625
0.39604,0.18658,0.19740999,0.123500004
0.37138,0.25636998,0.16273001,-0.01539
0.35584,0.26784,0.17817,0.14945
0.47185,0.24797001,0.10017,0.20974001
0.73032,0.18258,0.12772,0.04625
0.52789,0.42226002,0.33473,0.19443001
0.90839,0.36523998,0.42423,0.36251998
0.75338,0.66664004,0.4559,0.28772
0.43735,0.26554,0.1935,0.07096
0.47185,0.24797001,0.10017,0.20974001
0.72931,0.32105,0.25655,0.1848
0.53568,0.20787,0.104899995,-0.05667
0.31017,0.24484,0.24145001,0.12186
0.52726,0.29123,0.25585,0.113000005
0.72931,0.32105,0.25655,0.1848
0.30344,0.19319999,0.16057,0.15083
0.56657004,0.31153,0.20221001,0.10953
0.0,0.0,0.42536,0.30346
0.40800998,0.15894,0.10045999,0.07946
0.75518,0.07703,0.20724002,0.16540001
0.0637,0.031229999,0.02169,0.01328
0.31279,0.24055,0.1246,0.101610005
0.51665,0.37744,0.31598,-0.043959998
0.33615002,0.29124,0.26763,0.09433
0.14930001,0.02722,0.0344,0.013259999
0.32658002,0.0,0.118090004,0.08125
0.58512,0.43528,0.28942,0.028789999
0.40800998,0.15894,0.10045999,0.07946
0.44296002,0.20738001,-0.00601,0.01998
0.3343,0.22733,0.09415,-0.11133
0.0,0.0,0.54936004,0.38471
0.30336002,0.15154,0.04982,0.04597
0.0,0.0,0.35789,0.23561001
0.42493,0.34012002,0.22929001,0.12679
0.081870005,0.0154,-0.0068300003,-0.01636
