Rev/Sh,FCF/Sh,Cash/Sh,BV/Sh
3.652,,31.141,4.442
39.804,-2.264237386722836,0.442,64.162
7.513,1.1256523683600093,1.027,15.44
19.01,0.6539062397485486,21.8,1.913
,2.922456034229659,,
29.555,10.396364463628109,9.533,12.229
,,,34.616
,,,
32.719,11.002368975146823,29.85,33.404
143.917,9.359447670795843,22.019,94.304
38.763,-7.611888314409995,0.821,55.879
1.826,,31.141,4.442
12.846,,188.437,45.069
31.159,3.3435625009553607,28.416,34.806
23.517,1.0461942234511898,0.07,9.155
17.949,1.514779459270267,3.127,12.689
7.188,0.13168967453917052,0.039,13.847
8.271,2.4843691247555104,5.955,2.691
55.362,5.05995313744746,2.274,41.85
1628.807,6.646483087302324,11.512,10.215
27.28,3.6771065684075617,0.348,34.436
302.16,37.98206350587478,1.648,6.268
23.218,6.873513497172261,6.981,13.228
94.607,5.846986083858791,12.081,47.528
29.035,7.559864442265098,17.49,50.859
15.108,1.8991032397159686,1.648,6.268
,,,21.602
8.532,0.841497285364835,1.153,2.63
240.597,35.896518684761865,8.517,140.186
17.025,5.686627611746201,10.454,65.172
13.839,,40.108,45.705
69.568,19.612805768766144,2.252,182.448
28.101,1.437935250289841,5.283,14.669
47.776,5.584256784903499,12.574,37.955
6.781,0.5725226964540687,0.207,3.318
74.154,11.755259909073189,2.641,88.868
176.057,6.370787968269734,3.419,52.92
11.271,0.7112953140644265,1.182,12.379
16.635,1.2734657972940988,1.741,13.74
11.271,0.7112953140644265,1.182,12.379
25.57,2.7146740442410806,2.112,17.284
13.759,-2.230716638949672,1.774,24.059
6.187,2.672710706003648,0.885,42.824
250.021,10.570956864452876,40.36,83.402
245.326,8.89422751222911,22.31,85.56
1229.869,331.9574123332965,373.664,784.759
69.836,106.6499700077123,398.282,148.378
14.112,3.3182582167044576,1.295,20.58
182.048,1.480839721437282,21.993,69.345
13.759,-1.9611544266917358,1.774,24.059
56.202,2.875870500579682,5.283,14.669
1229.869,331.9574123332965,373.664,784.759
364.838,14.81046711987387,,117.958
20.728,-9.083914810137447,0.265,47.234
81.37,10.171522259837648,7.999,30.28
106.391,4.3082904862857205,45.833,41.517
5.331,3.2012837215727976,0.427,25.493
17.989,-7.0157740894461496,0.425,30.743
83.899,5.247027566983332,19.983,57.918
113.234,15.424649619726893,2.576,103.139
17.879,0.6682890279084054,3.728,2.576
11.266,2.4884208466398445,1.36,13.561
59.158,0.38859042300515634,15.768,36.073
17.982,1.3807446417606717,17.106,27.807
11.856,,45.235,23.527
52.034,-7.2442107152242325,9.161,28.411
49.562,7.821277708870719,2.057,18.201
25.597,2.0182078232509033,2.773,15.025
0.044,-0.018464881236032796,0.036,0.045
27.147,14.051580676378547,6.296,28.626
323.361,-0.29477338638635664,2.603,68.026
422.278,5.514851075587132,5.503,54.684
15.468,4.190041860516761,4.617,11.451
26.561,4.187388132165733,0.547,15.703
25.028,3.6480265929364584,3.153,38.108
2839.505,455.27368311239945,224.078,4395.19
4.4,-1.8464881563903082,0.036,0.045
